File	Gene	Count
GCF_900007375.1.gff	18s_rRNA	139
GCF_021901695.1.gff	18s_rRNA	112
GCF_000230375.1.gff	18s_rRNA	82
GCF_024613125.1.gff	18s_rRNA	80
GCF_000185945.1.gff	18s_rRNA	50
GCF_000146915.1.gff	18s_rRNA	43
GCF_000182925.2.gff	18s_rRNA	42
GCF_003184545.1.gff	18s_rRNA	42
GCF_001672515.1.gff	18s_rRNA	40
GCF_028829455.1.gff	18s_rRNA	40
GCF_000091025.4.gff	18s_rRNA	39
GCF_000204055.1.gff	18s_rRNA	36
GCF_002849105.1.gff	18s_rRNA	36
GCF_016647785.1.gff	18s_rRNA	33
GCF_001548555.1.gff	18s_rRNA	31
GCF_900519145.1.gff	18s_rRNA	31
GCF_010015615.1.gff	18s_rRNA	30
GCF_024521655.1.gff	18s_rRNA	28
GCF_028828005.1.gff	18s_rRNA	28
GCF_028829585.1.gff	18s_rRNA	27
GCF_013390185.1.gff	18s_rRNA	26
GCF_001641265.1.gff	18s_rRNA	24
GCF_010015815.1.gff	18s_rRNA	24
GCF_019609905.1.gff	18s_rRNA	23
GCF_028828655.1.gff	18s_rRNA	21
GCF_028829765.1.gff	18s_rRNA	21
GCF_025024165.1.gff	18s_rRNA	20
GCF_025433545.1.gff	18s_rRNA	20
GCF_028827405.1.gff	18s_rRNA	20
GCF_005498985.1.gff	18s_rRNA	18
GCF_016758755.1.gff	18s_rRNA	18
GCF_020736505.1.gff	18s_rRNA	18
GCF_003184535.1.gff	18s_rRNA	17
GCF_028828085.1.gff	18s_rRNA	17
GCF_028827555.1.gff	18s_rRNA	16
GCF_030435595.1.gff	18s_rRNA	16
GCF_033439085.1.gff	18s_rRNA	16
GCF_000240135.3.gff	18s_rRNA	15
GCF_002847485.1.gff	18s_rRNA	15
GCF_014466165.1.gff	18s_rRNA	15
GCF_028827895.1.gff	18s_rRNA	15
GCF_003851025.1.gff	18s_rRNA	14
GCF_023758075.1.gff	18s_rRNA	14
GCF_036426115.1.gff	18s_rRNA	14
GCF_000203795.2.gff	18s_rRNA	13
GCF_002847465.1.gff	18s_rRNA	13
GCF_020360975.1.gff	18s_rRNA	13
GCF_024043175.1.gff	18s_rRNA	13
GCF_028827165.1.gff	18s_rRNA	13
GCF_002251995.1.gff	18s_rRNA	12
GCF_028828465.1.gff	18s_rRNA	12
GCF_035048745.1.gff	18s_rRNA	12
GCF_000003515.1.gff	18s_rRNA	11
GCF_014461135.1.gff	18s_rRNA	11
GCF_001329695.1.gff	18s_rRNA	10
GCF_008694065.1.gff	18s_rRNA	10
GCF_020906515.1.gff	18s_rRNA	10
GCF_027921745.1.gff	18s_rRNA	10
GCF_028502605.1.gff	18s_rRNA	10
GCF_028826965.1.gff	18s_rRNA	10
GCF_030347475.1.gff	18s_rRNA	10
GCF_033458365.1.gff	18s_rRNA	10
GCF_000002715.2.gff	18s_rRNA	9
GCF_000150735.1.gff	18s_rRNA	9
GCF_014117465.1.gff	18s_rRNA	9
GCF_015039405.1.gff	18s_rRNA	9
GCF_016647625.1.gff	18s_rRNA	9
GCF_016861735.1.gff	18s_rRNA	9
GCF_023757995.1.gff	18s_rRNA	9
GCF_023758025.1.gff	18s_rRNA	9
GCF_026873545.1.gff	18s_rRNA	9
GCF_027946475.1.gff	18s_rRNA	9
GCF_033439725.1.gff	18s_rRNA	9
